Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20771637,Electrical,Street Light Not Working,2025-06-19 09:20:00.000000000,Chikkalasandra,Registered,1st Assignment Based on Ward Mapping,Umesh/AE
20771636,Electrical,Street Light Not Working,2025-06-19 09:19:00.000000000,Bagalagunte,Registered,1st Assignment Based on Ward Mapping,H S Manjappa/AE
20771635,Electrical,Street Light Not Working,2025-06-19 09:19:00.000000000,Basavanagudi,Registered,1st Assignment Based on Ward Mapping,Jnanesh/JE
20771634,Road Maintenance(Engg),Road side drains,2025-06-19 09:18:00.000000000,Neelasandra,Registered,1st Assignment Based on Ward Mapping,Harsha/AE
20771633,Electrical,Street Light Not Working,2025-06-19 09:18:00.000000000,Sarakki,Registered,1st Assignment Based on Ward Mapping,Umesh/AE
20771632,Storm  Water Drain(SWD),Sewerage water left in SWD,2025-06-19 09:17:00.000000000,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE
20771631,Electrical,Street Light Not Working,2025-06-19 09:17:00.000000000,Hosahalli,Registered,1st Assignment Based on Ward Mapping,MURTHY/AE
20771630,Electrical,Street Light Not Working,2025-06-19 09:17:00.000000000,Newthippasandra,Registered,1st Assignment Based on Ward Mapping,Durga Prasad/AE
20771629,Electrical,Street Light Not Working,2025-06-19 09:16:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE
20771628,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:16:00.000000000,Horamavu,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 25/Marshal
20771627,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:16:00.000000000,Byatarayanapura,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 07/Marshal
20771626,Electrical,Street Light Not Working,2025-06-19 09:15:00.000000000,Jnanabharathi Ward,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771625,veterinary,Fatally injured - Needs immediate attention,2025-06-19 09:15:00.000000000,Koramangala,Registered,1st Assignment Based on Ward Mapping,SURESH/VI
20771624,Electrical,Street Light Not Working,2025-06-19 09:15:00.000000000,Mahalakshmipuram,Registered,1st Assignment Based on Ward Mapping,Jameel/AE
20771623,Electrical,Street Light Not Working,2025-06-19 09:15:00.000000000,Hagadooru,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771622,Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,2025-06-19 09:15:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 06/Marshal
20771621,Road Maintenance(Engg),Road side drains,2025-06-19 09:14:00.000000000,Bommanahalli,Registered,1st Assignment Based on Ward Mapping,K P Umesh/AE
20771620,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2025-06-19 09:12:00.000000000,Someshwara,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 03/Marshal
20771619,Electrical,Street Light Not Working,2025-06-19 09:11:00.000000000,Doddanekkundi,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771618,Electrical,Street Light Not Working,2025-06-19 09:10:00.000000000,Kempegowda Ward,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771617,Electrical,Street Light Not Working,2025-06-19 09:06:00.000000000,Byatarayanapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771616,Electrical,Street Light Not Working,2025-06-19 09:06:00.000000000,Hemmigepura,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771615,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 09:05:00.000000000,Banashankari Temple Ward,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 180/Marshal
20771614,Electrical,Street Light Not Working,2025-06-19 09:05:00.000000000,Jnanabharathi Ward,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771613,Electrical,Street Light Not Working,2025-06-19 09:05:00.000000000,Subedarapalya,Registered,1st Assignment Based on Ward Mapping,Anand/JE
20771612,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:03:00.000000000,Horamavu,Closed,Clear sir today morning,Marshal Ward No 25/Marshal
20771611,Electrical,Street Light Not Working,2025-06-19 09:03:00.000000000,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771610,Electrical,Street Light Not Working,2025-06-19 09:02:00.000000000,Byatarayanapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771609,Electrical,Street Light Not Working,2025-06-19 09:01:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE
20771608,Electrical,Street Light Not Working,2025-06-19 09:01:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771607,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:01:00.000000000,Horamavu,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 25/Marshal
20771606,Electrical,Street Light Not Working,2025-06-19 09:00:00.000000000,Shakthiganapathi Nagar,Registered,1st Assignment Based on Ward Mapping,Jameel/AE
20771605,Electrical,Street Light Not Working,2025-06-19 09:00:00.000000000,Jnanabharathi Ward,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771604,Electrical,Street Light Not Working,2025-06-19 09:00:00.000000000,Banaswadi,Registered,1st Assignment Based on Ward Mapping,Vinay Kumar/AE
20771603,Electrical,Street Light Not Working,2025-06-19 08:59:00.000000000,Jagajeevanram Nagar,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE
20771602,Electrical,Street Light Not Working,2025-06-19 08:58:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE
20771601,Electrical,Street Light Not Working,2025-06-19 08:58:00.000000000,Vishwanathnagenahalli,Registered,1st Assignment Based on Ward Mapping,Anand/AE
20771600,Electrical,Street Light Not Working,2025-06-19 08:57:00.000000000,Yelachenahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE
20771599,Electrical,Street Light Not Working,2025-06-19 08:56:00.000000000,Arakere,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE
20771598,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 08:56:00.000000000,Hoysala Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 80/Marshal
20771597,Electrical,Street Light Not Working,2025-06-19 08:54:00.000000000,Hombegowda Nagar,Registered,1st Assignment Based on Ward Mapping,MURTHY/AE
20771596,Electrical,Street Light Not Working,2025-06-19 08:54:00.000000000,HBR Layout,Registered,1st Assignment Based on Ward Mapping,Vinay Kumar/AE
20771595,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 08:52:00.000000000,Benniganahalli,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 50/Marshal
20771594,Road Maintenance(Engg),Road cutting,2025-06-19 08:51:00.000000000,Banashankari Temple Ward,Registered,1st Assignment Based on Ward Mapping,AE Ward 180/AE
20771593,Road Maintenance(Engg),water stagnation,2025-06-19 08:50:00.000000000,Lakkasandra,Registered,1st Assignment Based on Ward Mapping,AE Ward 146/AE
20771592,Electrical,Requirement For New Street Lights,2025-06-19 08:49:00.000000000,Herohalli,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771591,Electrical,Street Light Not Working,2025-06-19 08:49:00.000000000,Gandhi Nagar,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE
20771590,Electrical,Requirement For New Street Lights,2025-06-19 08:48:00.000000000,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771589,Electrical,Street Light Not Working,2025-06-19 08:47:00.000000000,Jakkur,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771588,Road Maintenance(Engg),Road side drains,2025-06-19 08:47:00.000000000,Sarvagna Nagar,Registered,1st Assignment Based on Ward Mapping,Shankarappa/AE
20771587,Electrical,Street Light Not Working,2025-06-19 08:47:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771586,Electrical,Street Light Not Working,2025-06-19 08:45:00.000000000,Ganeshmandira Ward,Registered,1st Assignment Based on Ward Mapping,Umesh/AE
20771585,Advertisement,Flex and banners,2025-06-19 08:44:00.000000000,Arakere,Registered,1st Assignment Based on Ward Mapping,Shabana/ARO
20771584,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2025-06-19 08:43:00.000000000,Kadugodi,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 83/Marshal
20771583,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 08:42:00.000000000,Dodda Bidarkallu,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 40/Marshal
20771582,Electrical,Street Light Not Working,2025-06-19 08:40:00.000000000,Kuvempu Nagar,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771581,Electrical,Street Light Not Working,2025-06-19 08:35:00.000000000,Byatarayanapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771580,Electrical,Street Light Not Working,2025-06-19 08:34:00.000000000,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771579,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2025-06-19 08:34:00.000000000,Kadugodi,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 83/Marshal
20771578,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 08:33:00.000000000,Hoodi,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 54/Marshal
20771577,Electrical,Street Light Not Working,2025-06-19 08:32:00.000000000,Nandini Layout,Registered,1st Assignment Based on Ward Mapping,Jameel/AE
20771576,Forest,obstructions Branches / Trees.,2025-06-19 08:30:00.000000000,Nagarabhavi,Registered,1st Assignment Based on Ward Mapping,sudarshan/DYRFO
20771575,veterinary,Collect the food available to feed dogs,2025-06-19 08:30:00.000000000,Basavanagudi,Registered,1st Assignment Based on Ward Mapping,Hanumantha raju/VI
20771574,Electrical,Park Lights Not Working,2025-06-19 08:30:00.000000000,Hampi Nagar,Registered,1st Assignment Based on Ward Mapping,MURTHY/AE
20771573,Electrical,Street Light Not Working,2025-06-19 08:29:00.000000000,Sanjay Nagar,Registered,1st Assignment Based on Ward Mapping,Anand/AE
20771572,Electrical,Street Light Not Working,2025-06-19 08:28:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771571,Storm  Water Drain(SWD),Maintenance of SWD,2025-06-19 08:27:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Sushmashri.S/AE
20771570,Electrical,Street Light Not Working,2025-06-19 08:27:00.000000000,Someshwara,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771569,Forest,obstructions Branches / Trees.,2025-06-19 08:26:00.000000000,Anjanapur,Registered,1st Assignment Based on Ward Mapping,Narendra Babu/RFO
20771568,Electrical,Street Light Not Working,2025-06-19 08:26:00.000000000,Peenya Industrial Area,Registered,1st Assignment Based on Ward Mapping,H S Manjappa/AE
20771567,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 08:25:00.000000000,Anjanapur,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 196/Marshal
20771566,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 08:25:00.000000000,Ramamurthy Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 26/Marshal
20771565,veterinary,Stray dog related complaints,2025-06-19 08:25:00.000000000,J.P.Nagar,Registered,1st Assignment Based on Ward Mapping,Vijaya laxmi/VI
20771564,Electrical,Street Light Not Working,2025-06-19 08:25:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE
20771563,Electrical,Street Light Not Working,2025-06-19 08:22:00.000000000,Horamavu,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771562,Electrical,Street Light Not Working,2025-06-19 08:22:00.000000000,K.R.Puram,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771561,Electrical,Street Light Not Working,2025-06-19 08:19:00.000000000,Hemmigepura,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771560,Electrical,Street Light Not Working,2025-06-19 08:19:00.000000000,Visvesvarapuram,Registered,1st Assignment Based on Ward Mapping,MURTHY/AE
20771559,Electrical,Street Light Not Working,2025-06-19 08:18:00.000000000,Doddanekkundi,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771558,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 08:18:00.000000000,Hemmigepura,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 198/Marshal
20771557,Electrical,Street Light Not Working,2025-06-19 08:17:00.000000000,J.P.Nagar,Registered,1st Assignment Based on Ward Mapping,Umesh/AE
20771556,Electrical,Street Light Not Working,2025-06-19 08:13:00.000000000,Basavanagudi,Registered,1st Assignment Based on Ward Mapping,Jnanesh/JE
20771555,Forest,obstructions Branches / Trees.,2025-06-19 08:12:00.000000000,Attiguppe,Registered,1st Assignment Based on Ward Mapping,Shivanna T.C/DYRFO
20771554,Electrical,Street Light Not Working,2025-06-19 08:12:00.000000000,Horamavu,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771553,Electrical,Street Light Not Working,2025-06-19 08:08:00.000000000,Hoodi,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771552,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2025-06-19 08:08:00.000000000,S.K.Garden,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 61/Marshal
20771551,Electrical,Street Light Not Working,2025-06-19 08:08:00.000000000,Jakkur,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771550,Electrical,Requirement For New Street Lights,2025-06-19 08:07:00.000000000,Hemmigepura,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771549,Electrical,Street Light Not Working,2025-06-19 08:07:00.000000000,Jakkur,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771548,Electrical,Street Light Not Working,2025-06-19 08:05:00.000000000,Jnanabharathi Ward,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771547,Electrical,Street Light Not Working,2025-06-19 08:04:00.000000000,Shettyhalli,Registered,1st Assignment Based on Ward Mapping,H S Manjappa/AE
20771546,Electrical,Street Light Not Working,2025-06-19 08:03:00.000000000,Varthur,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE
20771545,Electrical,Street Light Not Working,2025-06-19 08:02:00.000000000,Kammanahalli,Registered,1st Assignment Based on Ward Mapping,Vinay Kumar/AE
20771544,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 07:59:00.000000000,Sunkenahalli,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 142/Marshal
20771543,Electrical,Street Light Not Working,2025-06-19 07:59:00.000000000,Yelachenahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE
20771542,Electrical,Street Light Not Working,2025-06-19 07:59:00.000000000,Gottigere,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE
20771541,veterinary,Animal Rescue - Not well - Requires attention,2025-06-19 07:58:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Uday Kulkarni/VI
20771540,veterinary,Fatally injured - Needs immediate attention,2025-06-19 07:57:00.000000000,K.R.Puram,Registered,1st Assignment Based on Ward Mapping,Smt Jahanar Ameer/VI
20771539,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 07:56:00.000000000,Ramamurthy Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 26/Marshal
20771538,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 07:53:00.000000000,Dodda Bidarkallu,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 40/Marshal
20771537,Electrical,Street Light Not Working,2025-06-19 07:53:00.000000000,Kumaraswamy Layout,Registered,1st Assignment Based on Ward Mapping,Umesh/AE
20771536,Electrical,Street Light Not Working,2025-06-19 07:51:00.000000000,Yelahanka old Satellite Town,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE
20771535,Electrical,Street Light Not Working,2025-06-19 07:51:00.000000000,Vijay Nagar,Registered,1st Assignment Based on Ward Mapping,MURTHY/AE
20771534,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 07:50:00.000000000,Hoysala Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 80/Marshal
20771533,Electrical,Street Light Not Working,2025-06-19 07:45:00.000000000,Cottonpet,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE
20771532,Electrical,Street Light Not Working,2025-06-19 07:44:00.000000000,Vasanth Nagar,Registered,1st Assignment Based on Ward Mapping,Sandeep Singh/AE
20771531,Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,2025-06-19 07:43:00.000000000,Someshwara,Registered,1st Assignment Based on Ward Mapping,Yelahanka HS/HS
20771530,Electrical,Street Light Not Working,2025-06-19 07:41:00.000000000,Chikkalasandra,Registered,1st Assignment Based on Ward Mapping,Umesh/AE
20771529,Electrical,Street Light Not Working,2025-06-19 07:41:00.000000000,Hemmigepura,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771528,Electrical,Street Light Not Working,2025-06-19 07:40:00.000000000,Chikpete,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE
20771527,Road Maintenance(Engg),footpath encroachment,2025-06-19 07:39:00.000000000,Kadugodi,Registered,1st Assignment Based on Ward Mapping,Venkatesh/AE
20771526,Road Maintenance(Engg),Road side drains,2025-06-19 07:39:00.000000000,Kadugodi,Registered,1st Assignment Based on Ward Mapping,Venkatesh/AE
20771525,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 07:38:00.000000000,Visvesvarapuram,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 143/Marshal
20771524,Storm  Water Drain(SWD),Sewerage water left in SWD,2025-06-19 07:36:00.000000000,Ramamurthy Nagar,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE
20771523,Road Maintenance(Engg),Debris Removal / Construction Material,2025-06-19 07:36:00.000000000,Gali Anjaneya Swamy Temple Ward,Registered,1st Assignment Based on Ward Mapping,AE Ward 157/AE
20771522,Road Maintenance(Engg),footpath encroachment,2025-06-19 07:34:00.000000000,Kadugodi,Registered,1st Assignment Based on Ward Mapping,Venkatesh/AE
20771521,Electrical,Street Light Not Working,2025-06-19 07:34:00.000000000,Jnanabharathi Ward,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771520,Electrical,Street Light Not Working,2025-06-19 07:31:00.000000000,Hemmigepura,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE
20771519,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 07:31:00.000000000,Benniganahalli,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 50/Marshal
20771518,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 07:29:00.000000000,Rajagopala Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 70/Marshal
